Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total,Type
team motivation,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Soft Skill
team oriented,0,5,0,1,15,2,2,1,0,0,2,7,0,35,Soft Skill
team performance management,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
teamwork,0,3,12,0,3,17,6,1,8,7,6,0,0,63,Soft Skill
technical acumen,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Soft Skill
technical curiosity,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Soft Skill
telecommuting,0,0,0,0,0,0,0,25,0,0,0,0,0,25,Soft Skill
telephone skills,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Soft Skill
tenacity,4,0,0,0,0,0,0,0,0,0,1,0,0,5,Soft Skill
time constraints,1,1,0,0,0,0,1,0,0,6,0,0,0,9,Soft Skill
time management,13,6,2,1,4,4,5,3,0,1,7,0,0,46,Soft Skill
timelines,0,12,4,0,2,1,8,5,4,0,3,7,0,46,Soft Skill
training and development,0,1,0,0,0,0,0,0,0,0,0,0,1,2,Soft Skill
transcribing,0,0,0,0,0,0,0,0,0,0,0,1,30,31,Soft Skill
troubleshooting,13,7,1,6,16,22,13,0,0,29,7,0,0,114,Soft Skill
typing,0,4,0,0,0,0,4,1,0,0,0,0,1,10,Soft Skill
unpacking,0,0,0,0,0,0,0,0,37,0,1,0,0,38,Soft Skill
verbal communication skills,10,3,0,2,1,4,9,4,0,2,9,1,0,45,Soft Skill
virtual teams,0,0,0,0,0,5,0,0,0,0,0,0,0,5,Soft Skill
visionary,0,0,0,0,1,0,0,0,0,0,1,0,0,2,Soft Skill
web browsers,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Soft Skill
writing,8,24,13,24,7,4,17,3,92,1,14,1,8,216,Soft Skill
written communication,2,8,7,1,9,20,21,12,0,4,12,0,2,98,Soft Skill
written english,0,0,0,1,0,3,0,0,0,1,1,0,0,6,Soft Skill
.net framework,0,0,4,0,0,0,2,0,0,0,0,0,0,6,Hard Skill
12factor,0,0,0,0,0,0,2,0,0,0,0,0,0,2,Hard Skill
3d graphic design,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hard Skill
3d modeling,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hard Skill
3gpp,0,0,0,0,0,0,0,0,0,26,0,0,0,26,Hard Skill
5g technology,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Hard Skill
ab initio,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Hard Skill
abaqus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hard Skill
academic achievement,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Hard Skill
acceptance test procedures,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hard Skill
acceptance testing,0,1,0,0,1,2,4,0,0,0,0,0,0,8,Hard Skill
access controls,0,1,1,0,0,0,1,0,0,0,1,0,0,4,Hard Skill
access network,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hard Skill
access project,0,0,0,0,0,0,0,1,0,0,1,0,0,2,Hard Skill
account analysis,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Hard Skill
account development,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Hard Skill
account management,11,0,0,6,2,2,2,1,0,0,2,0,1,27,Hard Skill
accounting,0,8,3,2,5,14,1,2,0,1,1,4,0,41,Hard Skill
accounting records,0,0,0,0,0,4,0,0,0,0,0,2,0,6,Hard Skill
accounting softwares,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Hard Skill
accounts payable,0,0,0,0,0,3,0,1,0,0,0,0,2,6,Hard Skill
accounts receivable,0,1,0,0,1,3,1,1,0,0,0,0,0,7,Hard Skill
aceproject,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Hard Skill
acting,1,2,0,0,1,1,7,2,0,0,2,0,0,16,Hard Skill
action research,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hard Skill
active directory,0,0,0,0,0,4,0,0,0,0,0,0,0,4,Hard Skill
active safety,0,0,0,0,0,0,9,0,0,0,0,0,0,9,Hard Skill
activiti,0,0,0,0,0,0,47,0,0,0,0,0,0,47,Hard Skill
actuarial science,0,0,0,0,1,0,0,1,0,0,0,0,0,2,Hard Skill
acute care,0,5,0,0,2,0,0,5,0,0,0,0,0,12,Hard Skill
